id,status,category,category_in_india_portal,folder,folder_visibility,delta_returns_content,reason,fd_url,delta_url,title
80001153662,2,FAQs,false,Important Update for Delta Exchange Global Users in India,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001153662,https://www.delta.exchange/support/solutions/articles/80001153662,Important Update for Delta Exchange Global Users in India
80001014618,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014618,https://www.delta.exchange/support/solutions/articles/80001014618,Can I deposit USDT or fiat to my Delta Exchange account?
80001014604,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014604,https://www.delta.exchange/support/solutions/articles/80001014604,Key information about deposits & withdrawals
80001014606,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014606,https://www.delta.exchange/support/solutions/articles/80001014606,How can I cancel my withdrawal?
80001014608,1,FAQs,false,Deposits & Withdrawals,1,,draft (Freshdesk status != 2),https://deltaexchange.freshdesk.com/support/solutions/articles/80001014608,https://www.delta.exchange/support/solutions/articles/80001014608,Is there a minimum withdrawal amount?
80001014610,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014610,https://www.delta.exchange/support/solutions/articles/80001014610,Why is my deposit not showing up in my Delta Exchange wallet?
80001014611,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014611,https://www.delta.exchange/support/solutions/articles/80001014611,Key information about deposits & withdrawals
80001014612,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014612,https://www.delta.exchange/support/solutions/articles/80001014612,How often are withdrawals processed?
80001014614,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014614,https://www.delta.exchange/support/solutions/articles/80001014614,What are Delta Exchange’s KYC requirements?
80001014616,2,FAQs,false,Deposits & Withdrawals,1,,category 'FAQs' not visible in India portal,https://deltaexchange.freshdesk.com/support/solutions/articles/80001014616,https://www.delta.exchange/support/solutions/articles/80001014616,Is the first deposit bonus withdrawable?
80001133762,1,FAQs,false,Deposits & Withdrawals,1,,draft (Freshdesk status != 2),https://deltaexchange.freshdesk.com/support/solutions/articles/80001133762,https://www.delta.exchange/support/solutions/articles/80001133762,How to add funds for trading?
80001133765,1,FAQs,false,Deposits & Withdrawals,1,,draft (Freshdesk status != 2),https://deltaexchange.freshdesk.com/support/solutions/articles/80001133765,https://www.delta.exchange/support/solutions/articles/80001133765,Why my deposit transaction failed
